,,Notes,Kate Shreeve,Roland White,Athena,Amelia Espada,Esther Martin,Mark Savage,Janet Walker,Alain Mormont,Jai Chandra,Sen,Gargoyle,Ryan Frost,Stranger,Andromeda McLear,Earl Deckard,George Mormoth,Simon Coil,Julia Takahashi,Daiyu Tang,Ezekiel Gray,Marika Prochazka,Karl Schraeder,Alec Shaheen,,Amelia Espada
,Upgrade_NoWeapon,If you have no weapon powered. This plays every time you remove all weapons from the Pilot.,"""Weapon's gone silent."",
""Um, I kinda wanted to use that."",
""What am I supposed to use against the Vek? Loud , harsh language?""","""Wasn't using that anyway."",
""Lightening the load? What, are my arms looking skinny?"",
""You sure I won't need that?""","""So... I'll just go run into the monsters, then?"",
""You want me to just go bump into things?"",
""Hmm, I thought this #self_mech looked better with a weapon."",","""You know this self-repairing liquid metal shell doesn't count as a weapon on its own, right?"",
""You gotta give me something to work with here."",
""Is this a good idea?"",
""What use is this #self_mech without any weapons?"",","""Give that back."",
""Bad idea."",
""I'm sitting right here til you give me a weapon."",
""This thing's not build for unarmed combat."",
""Are you trying to get on my bad side?"",","""I guess I'm strictly on medic duty, then?"",
""It's going to be a lot harder to take care of the squad if my #self_mech is unarmed..."",
""You sure about this?"",
""I'll stick to fixing up the rest of the squad, then."",","""I'd rather not go in empty-handed."",
""You have something better for me?"",
""Might as well do some maintenance while it's unloaded."",
""It wasn't slowing me down."",","""I'm not sure this is advisable."",
""I still need a weapon!"",
""What do you have for me?"",
""I... guess I can still handle reconnaissance. But I would prefer a weapon."",
""Smashing!"",","""This doesn't seem right."",
""This Grav Anchor isn't really a weapon by itself."",
""Can't the #squad requisition any more weapons?"",
""I thought the fate of the world was at stake."",","""Turn, turn..."",
""Everything changes... which means seeing something new!"",
""What now?"",
""#self_mech is missing something..."",","""What do you have for me?"",
""..."",","""This can't be right."",
""What gives?"",
""Hey, give me something to work with."",
""Are sending me into battle with just my charming personality? That won't end well."",","""A wastelander is never truly unarmed..."",
""Even without a weapon I can still hunt the Vek."",
""I've piloted an unarmed Mech plenty of times, but it is never my first choice."",
""Even in the wasteland, I always managed to find a weapon."",
""Rearranging our loadouts?"",","""There must be SOMETHING we can equip this Mech with..."",
""Do you wish for me to simply observe the Vek...?"",
""I don't believe this Mech was intended to operate without some sort of weapon."",","""Nothing up my sleeves..."",
""Give me something to work with."",
""I need something more than playing cards to throw at the Vek..."",","""A knight without a sword is a sad thing."",
""I respectfully request a weapon. Any sort will do."",
""I do not understand how this armor functions... but I do believe it requires a weapon."",","""I am not so distracted that this lack of armament has escaped my notice."",
""No weapon? This seems inadvisable."",
""What are you playing at?"",
""I would like to request something more suitable for carrying out my research."",","""I prefer more gun, not less."",
""What have you got for me?"",
""This is not how I work."",
""... Am I missing something here?"",","""I like the new intangible weaponry... I'm lying. I do not."",
""Look into my eyes. Now, give me a weapon."",","""What gives?"",
""You don't trust me?"",
""You ARE aware I was officially pardoned? Now, give me a weapon. Please."",
""... Maybe we should compromise my hull shielding and just let me burn the Vek."",","""I feel like this is not going to end well."",
""Am I supposed to entertain the Vek with magic tricks?"",
""Weapon please."",
""Hey now, what gives?""","""This Mech needs SOME sort of augmentation."",
""Offensive capabilities are a little lacking."",
""No weapons? Seems impractical."",
""Switching the loadout? Excellent, I'll get to try something new."",","""Holograms alone aren't going to stop the Vek."",
""Waiting to see what my next weapon will be."",
""What's on the menu?"",
""Did Kern cut the defense budget again? Doesn't seem like the time for it."",",,"""You know this emergency combat regulator won't work on a weapon that's not there, right?"",
""You gotta give me something to work with here."",
""Is this a good idea?"",
""What use is this #self_mech without any weapons?"","
,Upgrade_PowerGeneric,"Diverting reactor power to either Health or Move (basic Mech stats, not a weapon).","""Extra power is wired in."",
""Never thought I'd be tinkering with something like a Mech..."",","""I'm getting all sentimental."",
""Upgrade checks out."",","""Hmm, I think I understand how this works... can I do some tinkering?"",
""Ah, I see. That's much better!"",","""I'd prefer all power was diverted to weapons..."",
""Acceptable."",
""Power levels holding stable."",","""About time this Mech got a boost."",
""Is there an inspection certificate for that core?"",
""Where exactly did you find this reactor? Not that I'm complaining."",","""Like a shot of adrenaline."",
""That's good for the ol' systems."",
""Upgrade checks out."",
""Thanks, commander."",
""It's purring like a kitten."",","""Excellent. Should play well with my teleporter, too."",
""Is it supposed to glow like that? I'll assume yes."",
""What are you doing to my Mech?"",
""Appreciate the upgrade."",","""Wonderful!"",
""Looking forward to testing out these improvements!"",
""Everything checks out!"",
""The new core is functioning optimally."",","""Core integrated."",
""Seems like a good idea."",
""Have diagnostics been run on this?"",","""Is this weatherproof?"",
""Will this work in the snow?"",
""It sounds like a swarm of bees."",
""I hope this can handle a little rain."",
""It is a season of change..."",","""Redirecting power."",
""Core is holding stable."",
""More energy?"",","""Upgraded."",
""Done."",
""Got it."",
""Whatever you say."",
""As long as it's working right."",","""When things start glowing, nothing good ever comes of it... but this appears to be an exception!"",
""It is comforting to pilot a Mech that isn't being held together with scraps."",
""Reactor core installed."",
""Power levels stable."",
""More power!"",
""These cores hum with strange energy."",","""Fusion reaction is holding stable."",
""Reactor output diverted to primary Mech functions."",
""... now all it needs is a fresh coat of paint!"",","""I appreciate the concern."",
""My lucky day."",
""Powering up."",
""Sounds like it's working... I surmise."",
""This Mech has seen better days. But then, so have I."",","""So much light, and noise."",
""Such strange magic!"",
""I see."",
""This will improve my armor's function?"",","""Interesting."",
""These machines grow and develop just like organic lifeforms..."",
""Upgrade installed."",
""Yes, yes."",","""Unconventional. I like it."",
""Not quite what I'm used to, but it'll do."",
""Works for me."",
""Reactor output seems stable."",
""Upgrade is working beautifully."",","""Got it."",
""Powering up."",
""Even better."",","""Reactor fluctuations within acceptable tolerances... given the situation."",
""Very well."",
""Good things these cores are well-shielded."",
""As long as we don't overload the Mech's radiation screens."",
""Reactor core online."",
""Core integrated.""","""Fantastic!"",
""Reactor core is functioning perfectly."",
""I like it."",
""Yes boss."",
""Gives my Mech that nice personal touch."",","""Upgrade installed successfully."",
""I'm always a fan of custom augmentations."",
""A little extra power won't hurt..."",
""Better, faster, stronger..."",","""Upgrading core systems."",
""Give me some time to run a few checks."",
""Reactor core running optimally."",",,"""I'd prefer all power was diverted to weapons..."",
""Acceptable."",
""Power levels holding stable."","
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid- Battle,MissionStart,Generic mission start,"""Deep breath... here we go."",
""Okay, we can do this."",","""Once more into the... however that saying goes."",
""Let's go introduce ourselves."",
""Alright #squad, permission to have a little fun."",","""Ready, set..."",
""Let's go!"",
""I'm ready!"",
""Get ready... here we go!"",","""Everyone get ready."",
""Here come the Vek."",
""Protect the buildings. Leave the Vek to me."",
""Let's dance."",","""Class is now in session, #squad."",
""Let's show these Vek a warm, cuddly welcome."",
""Remember, the best way to learn is by not dying."",","""Watch each other's backs."",
""Prepare to engage hostiles."",
""Drop successful."",
""Guard the civilian structures."",
""Let's make sure everyone goes home tonight."",","""#squad, get ready to find your dance partners."",
""Okay #squad, try to keep up."",
""Let's remember why we're out here."",
""Everyone stay focused."",","""The field is ours, #squad."",
""Prepare to engage them!"",
""I always forget how big the Vek are up close..."",
""I'm so nervous I can hardly stay anchored in the present!"",
""Prepare a breach, just in case things go south."",","""Point me toward the enemy."",
""Let's hit the Vek like a meteor."",
""Hit the Vek hard and fast."",
""#self_mech, standing by."",","""Shall we frolic?"",
""War is spreading over all."",
""Let's uproot these monsters."",
""I will not let the Vek destroy this place."",
""Let us scatter them to the winds."",","""Here goes."",
""Enemies in sight."",","""Let's get this over with."",
""Time to earn our pay."",
""Let's have some fun."",","""Follow my lead."",
""Good hunting."",
""Ready your Mechs, #squad."",
""Prepare to attack."",
""Defend the civilian structures."",
""I will deal with any underground Vek."",","""Requesting support from orbital defense satellites."",
""Space command has routed a satellite to soften up the Vek for us."",
""I've networked available orbital defenses with our squad's targeting systems."",
""Aligning orbital defense satellites..."",","""Ante up, #squad."",
""We're playing for high stakes today."",
""Room for a few more at this table?"",","""We will defend these people."",
""These demons will advance no further."",
""Our foe awaits us."",
""Knights, prepare for battle."",
""Arm yourselves, #squad."",","""These Vek are already dead. They simply do not realize it yet."",
""Preparing to engage."",
""These invasive creatures will make excellent test subjects."",
""We must safeguard the local populace while we collect our research samples."",","""Get ready, #squad."",
""All Mechs, prepare to engage."",
""All Pilots, report in."",
""#squad, prepare for enemy contact."",","""Kick it into gear, kids."",
""We've got this."",
""#squad here; preparing to take out some Vek."",
""Let's clean up this sector."",","""#squad on site. Enemy spotted."",
""Let's ruin their day."",
""I see the enemy."",
""Finally, something to do other than sitting around the hangar."",","""Showtime, ladies and gentlemen."",
""And we're on!"",
""Let's begin."",
""Looks like we've got an audience. Can't let them down!"",","""Uplink established. #squad is networked."",
""Let's go to work."",
""Let's do this."",
""Numerous hostiles detected. Let's do something about that."",
""Enemy contact imminent."",","""#squad, take your positions."",
""Let's lock down the chokepoints and keep the Vek isolated away from the buildings if we can."",
""Ready to rumble."",
""Let's show these Vek what they're made of."",",,"""Everyone get ready."",
""Here come the Vek."",
""Protect the buildings. Leave the Vek to me."",
""Let's dance."","
*,Mission_ResetTurn,Triggers after a turn reset,"""Is there an echo in here?"",
""Do the Vek remember what happened before the reset?"",
""One more time!"",","""Always makes my stomach lurch."",
""Damn time shenanigans are giving me a headache."",
""That was too much fun not to do it again."",","""Feels like I've been spinning and then stopped too fast..."",
""Time loop!"",
""Okay, let me try again."",","""Everything as before."",
""One more time now."",
""If only we could weaponize the breaches."",
""... and we're back."",","""Hey, I'm old enough as it is, without having to relive today."",
""Know point in time travel if you don't learn from your mistakes."",","""We're back to where, er, when we were before."",
""Localized breach activity has stabilized."",
""So are we in a new timeline now? Sorry, can't help but wonder."",
""Oof... let me take a minute.""","""Round two."",
""Let's do that again, but better."",
""Okay, we can do better this time."",
""This is why I can't keep my age straight."",","""We must make every second count."",
""#squad, report in. Everyone make it through the breach okay?"",
""That other future... feels like a dream now."",
""I love time travel!"",","""That never stops feeling... weird."",
""This one needs to count."",
""#self_mech, reporting in."",","""Is it springtime again?"",
""The sun has gone backwards!"",
""I remember things that... did not happen, yet."",","""..."",
""Not again..."",","""All that wasted effort..."",
""You want a repeat performance?"",","""We have another chance to make things right."",
""We'll have to do better this time."",
""Registering a localized breach."",
""Breaching without a Time Pod makes me uncomfortable."",","""Can we change the outcomes we just observed? I supposed we have to try."",
""I cannot help but wonder what happened to our original timeline, just now."",","""Shall we play again?"",
""Another chance to make the same mistakes,"",
""Feels like cheating... I approve."",","""It seems Time bends to our will..."",
""The ocean of Time has cast us backwards."",","""A second chance is upon us."",
""We cannot waste this opportunity."",
""Let us correct the course of history."",
""Temporal reset complete.""","""Huh."",
""That never stops feeling weird."",
""Well, this looks familiar."",
""We know the future... lead your targets."",","""Second chance. No mistakes."",
""Let's try that again."",
""... I don't understand one bit of this time travel. Just let me shoot things."",","""Tachyon surge detected."",
""I'm getting tired of reliving my mistakes."",","""Pretend that never happened."",
""I would have killed for that ability on stage."",
""That last one doesn't count."",
""Poof!... and the old timeline's gone."",
""Welcome to the past, #squad."",","""Temporal traversal transacted... sorry."",
""Great, now my Mech's clock is wrong again."",
""Localized reset complete. Everyone remember the nonexistent future we just left?"",","""We're through the breach."",
""Time is settling out again."",",,"""Everything as before."",
""One more time now."",
""If only we could weaponize the breaches."",
""... and we're back."","
,MissionEnd_Dead,Generic mission end where enemies are all killed,"""Yes! Way to go, guys!"",
""Sounds like they're cheering for us!"",
""Good job today, #squad!"",
""Savor each victory."",","""Not a bad day. Let's enjoy it while we can."",
""That's how we do it. Take notes!"",
""Drinks on me tonight."",","""Finish line!"",
""No more Vek above ground!"",
""We got all of them!"",","""Remember, we're not out of the woods yet."",
""Enjoy this victory, and hope for another."",
""Well done, everyone."",
""Never forget those we've lost along the way."",","""Everyone did well today."",
""Not bad, #squad."",
""That's an ideal number of dead Vek out there."",
""No one skips the post-mission debrief. It's not enough to succeed; you need to know WHY you succeeded."",","""This is #self_second, reporting with some very good news."",
""Well, can't argue with today's results."",
""Good teamwork out there, #squad."",
""A hard-won victory."",
""They won't all be like this. Make sure you savor it."",","""Everyone see to your Mechs. Never know when the next mission will be."",
""We cleared this area of Vek."",
""I think that's called a success, #squad."",
""We did good today."",","""We did it! I mean, mission accomplished, commander."",
""The future's looking ever so slightly brighter!"",
""We didn't just do well, we did great!"",
""This is the future I was hoping we'd arrive in!"",","""No more Vek on my screens."",
""... time to prep for the next mission."",
""Secured the area."",
""This is the #squad, reporting in. We've wiped out all Vek in the area."",","""This land will heal."",
""Given time, the winds here will no longer smell of smoke and battle..."",
""We did it, #squad."",
""The storm has spared this place."",","""No remaining hostiles."",
""We got every last one of them."",","""Bam. No more Vek."",
""See any Vek? No? Thank the #squad."",","""This sector is clear."",
""No Vek remaining on my scanners."",
""A good hunt."",
""Area is clear."",","""I'll start collating the data we gathered as soon as we get back."",
""I hope these Vek don't decompose before we can take some samples."",
""I believe we performed quite well today, #squad."",","""We took 'em for all they had."",
""Looks like we win this round."",
""This round goes to us."",","""A decisive battle."",
""A hard-fought victory."",
""We have wiped out the enemy forces."",
""No demon can stand before us."",","""So many corpses for my research!"",
""We must transport the deceased Vek to the labs before they deteriorate further."",
""An excellent performance."",
""I will have no shortage of dead Vek for my studies."",
""A productive mission."",","""That's how it's done."",
""Mission complete. No hostiles remaining."",
""Nothing left on my scopes."",
""Vek eliminated from the area, commander."",","""No more monsters here."",
""Sector cleared."",
""Nice work, #squad."",
""Tell #corp we're good here."",","""Nothing left here."",
""Area is secure."",
""We've cleared this sector."",
""Well done, #squad."",","""... aaand, take a bow."",
""Take a bow, #squad."",
""Good show, everyone."",
""That performance will be hard to top."",","""No bad guys on my scope."",
""Chalk up a win, #squad."",
""I think this one qualifies as a win."",
""We gave the Vek a pretty good thrashing here today."",","""The map is clear. No hostiles."",
""Nothing left, at least above ground."",",,"""Remember, we're not out of the woods yet."",
""Enjoy this victory, and hope for another."",
""Well done, everyone."",
""Never forget those we've lost along the way."","
,MissionEnd_Retreat,Generic mission end when enemies retreat,"""Next time, we'll hunt them all down."",
""We did the best we could. Today it was enough."",","""Failed to save one for study... next time they won't escape."",
""Look at them running. Wait, were we supposed to stop them?"",
""I guess we'll save a few Vek for tomorrow..."",","""I think we scared them off."",
""Look at them running! We did that!"",
""We'll get them next time!"",","""Permission to chase down remaining Vek?"",
""We can't keep letting them get away."",
""Maybe leaving a few survivors will intimidate the rest of the Vek?"",","""Good job today, #squad, but still some room for improvement."",
""One battle at a time. We learn, and we improve."",
""Everyone pulled their weight today. Good stuff."",","""Some Vek escaped. But the Grid's intact."",
""Any mission you can walk away from..."",
""The Vek that escaped... I'm sure they'll be back to cause more trouble."",","""Everyone, get some sleep and get ready for the next mission."",
""If your Mech is secure, check with cleanup crews and see if they need help."",
""We did pretty good today. Still room for improvement."",","""Enemy forces have been routed."",
""Enemy forces are fleeing the area."",
""We drove them off!"",
""They won't forget us in a hurry."",","""The last few slipped away from us..."",
""Looks like they've had enough."",
""... time to prep for the next mission."",
""This is the #squad, reporting in. A few Vek escaped us, but the area is clear."",","""I fear this fight is far from over."",
""We did it, #squad."",
""We have driven them away."",
""They are fleeing. Very smart."",
""If they are smart, they will not return."",","""Remaining hostiles are fleeing."",
""The Vek are giving up."",","""Yeah, yeah, run away."",
""I'm sure we'll end up fighting these same guys again next time."",
""We did our job; the Vek are on the run."",","""We've driven the Vek from this sector."",
""The Vek are retreating underground."",
""Area is secure."",
""Well done, #squad."",","""Remaining Vek are departing."",
""The Vek are retreating. Satellites show the area is clear."",
""Some Vek have escaped, but we gathered valuable observational data."",","""Scared 'em away."",
""'Tis safe to come out now."",
""The Vek are retreating."",","""We have driven the beasts from this area."",
""The demon hoard has been sent scurrying."",
""They flee for their lives."",
""Several of the demons managed to escape us."",","""A pity we could not kill them all."",
""A waste of Vek, letting some of them escape..."",
""Hopefully these corpses will provide enough material for my studies."",
""A successful mission."",","""Mission complete. Surviving hostiles have fled."",
""Vek have been driven from the area, commander."",
""Left a few survivors to tell what happened. Think the Vek can feel fear? I hope so."",
""Looks like we missed a few, but the mission is complete."",","""Damn it, we let a few escape."",
""I hate watching them get away."",
""Next time, we leave no survivors."",","""Look at them running..."",
""Some of the Vek escaped. Too many."",
""Next time, let us hunt down the survivors."",","""Looks like we scared them off."",
""The Vek are fleeing."",
""We did it!"",","""Only bad guys on my scope are the ones in hot retreat."",
""I think this one qualifies as a win, even if we let a few stragglers escape."",
""Tell the other Vek that the #squad are not to be messed with!"",
""Job's done. A few Vek escaped."",","""We missed a few Vek, but the region is clear."",
""You can mark this sector green; I doubt the Vek will return here."",",,"""Permission to chase down remaining Vek?"",
""We can't keep letting them get away."",
""Maybe leaving a few survivors will intimidate the rest of the Vek?"","
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_Start,Plays at the start of the final mission,"""Detecting a whole lot of enemy movement."",
""Let's make this count."",
""We've got this, #squad."",","""All that volcanic ash... reminds of old times."",
""Let's rumble, #squad."",","""We're almost there."",
""Time for the final lap!"",
""Lava! Above ground! Stay out of that, it hurts."",","""Stay sharp, everyone."",
""If anyone was holding back before, now is the time to stop."",
""A whole island of Vek... guess we can really cut loose here."",","""Alright, folks, remember your training. Time to make it count."",
""It's time to put all that training to good use, #squad."",","""This one counts, folks. #squad, form up."",
""#self_second, reporting in. Let's bust this hive."",
""That's a friendly-looking little island. This is practically a vacation, eh #squad?"",","""When did this tropical paradise appear? Did the Vek create their own island?"",
""Was this volcano always here? Or... did the Vek someone make it?"",
""The Vek sure picked a fun place to build their little hive."",","""It's... like something out of an Old Earth film. The ones that never ended well."",
""I'm glad I'm not alone. This place is foreboding."",
""I can... catch glimpses of the past, here. So much pain and anger."",
""All together, #squad."",","""Here we go."",
""I've never heard of this island. Was there once a corporation here?"",
""Looks like we've found the main hive..."",","""So much fire!"",
""What an awful place!"",
""This is where the monsters took root; we must cut them out!"",
""That evil mountain is the source of these monsters."",
""There is an ominous tune to the winds that are coming off that mountain."",
""This is the calm before the storm..."",","""#squad, are you all online?"",","""Last mission? For real?"",
""Is it warm in here? Or is it just that volcano?"",
Our final mission... can I get that in writing? I'm going to need a break after this."",","""Even the wastelands were not this inhospitable."",
""It appears the Vek found a nightmare to call home."",
""Years of wandering the wasteland in my original timeline, and I never found the Vek hive..."",
""We must destroy the Vek here, at the source."",","""What is this place?"",
""The Vek have chosen a curiously volatile spot for their central hive."",","""What a lovely place."",
""'Tis like an entrance to the underworld."",","""I have heard tell of such fire mountains, but seeing one with my own eyes..."",
""These demons have chosen a wound in the Earth itself as their lair!"",","""A grim location for our final mission."",
""This will be a difficult location to retrieve samples from."",
""I admire the tenacity of the Vek, creating their lair in such an inhospitable environment."",","""This is it folks. Let's make it count."",
""Friendly-looking place they've got here."",
""The Vek invaded our islands; let's go return the favor."",","""Oh good, lava."",
""We strike for humanity."",
""We stop the Vek here, we stop them everywhere."",","""What an inviting location."",
""Seems the Vek know what an evil lair should look like."",
""Form up, #squad."",","""Well, this is ominous."",
""I have a bad feeling about this."",
""Not the venue I would have chosen..."",","""Are the Vek feeding off the geothermal energy of that volcano, somehow?"",
""Sensors detect a whole lot of tunnels beneath the surface of this island."",","""Let's finish this."",
""Alright #squad, we're going to finish this."",
""We've got a score to settle."",",,"""Stay sharp, everyone."",
""If anyone was holding back before, now is the time to stop."",
""A whole island of Vek... guess we can really cut loose here."","
,MissionFinal_StartResponse,Incoming power pylons,"""Right on schedule!"",
""Gotta keep the pylons safe if we're going to win this."",","""Power doohickeys inbound. Remember to wreck everything else, not them."",","""I know we need these, but they sure do get in the way of smashing stuff."",
""I'll try to be careful not to hit the pylons..."",","""Protect the pylons as well as you can while going after the Vek."",
""Alright #squad, let's take out these Vek. And try to avoid hitting the pylons."",
""Here come the pylons."",","""Protect those pylons as if they were Grid buildings; they're every bit as important to our success here."",
""Keep the pylons safe. It'll be a short fight otherwise."",","""Affirmative, we'll keep the pylons safe. Can't do much without a link to the Grid..."",
""Got it; protect the pylons while dealing with the Vek."",
""Protect the pylons, and each other."",","""Pylons incoming. They're built to survive the air-drop, but I wouldn't test them against the Vek."",
""Pylon link to Grid is holding steady; my Mech is ready to go."",","""Here come the pylons."",
""I see the pylons. I will do my best to protect them."",","""We'll do what we can to protect the pylons. We can't destroy this place if our Mechs lose power."",
""There's something you don't see every day."",","""Very strange weather!"",
""It is raining crystals!"",","""Pylons incoming."",
""..."",","""Fine, let's keep those pylons safe."",","""Detecting incoming pylons. Power link established."",
""Whoever target these pylons has very good aim."",
""If we lose the pylons, the Vek will overrun us. Keep them safe."",","""I'm detecting incoming pylons."",
""Pylon airdrop is on its way."",
""I've got the pylons on scanners. I'll make sure the defense satellites don't pick them off by mistake."",","""Want to bet the Vek go straight for those pylons?"",
""Incoming."",","""We shall not fail in our duty."",
""These Pylons... they will bring us victory?"",","""Incoming pylons detected."",
""Yes, yes, I see the pylons."",","""I see the pylons."",
""Pylons inbound. My #self_mech's link to the Grid is locked in."",
""Protect the pylons and clear this sector."",","""Watch your heads."",
""Maybe drop a few pylons on the Vek?"",","""Pylons detected. We'll try to keep them intact."",
""Shoot the Vek, not the pylons. Simple enough."",","""Pylons inbound; we'll keep them safe."",
""Don't let the Vek take out too many pylons, or we'll all be toast."",","""Pylon uplink established."",
""Uplink established."",
""Interfacing with the Grid remotely."",","""I see the pylons."",
""Watch your heads."",",,"""Protect the pylons as well as you can while going after the Vek."",
""Alright #squad, let's take out these Vek. And try to avoid hitting the pylons."",
""Here come the pylons."","
,MissionFinal_FallStart,Plays at the start of the ground falling in the final mission,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_FallResponse,Plays once the ground shakes,"""The island is collapsing!"",
""Collapse imminent!"",","""Looks like we're going downstairs. Fortunately nothing bad ever happens underground."",","""We need to finish this underground!"",
""Don't worry, I've explored the Vek tunnels before. Follow meeeeee..."",
""The ground is shaking! A lot!"",","""There's... some kind of enormous cavern on my sensors!"",
""What kind of earthquake is this?!"",
""There's something very wrong with this island!"",","""We've got an unhappy island here."",
""Keep it together, folks, just a little earthquake..."",","""#squad, report in!"",
""This is ominous."",","""I don't remember this part of the plan!"",
""The island is collapsing!... sorry, I'm sure you all noticed."",","""Uh, everyone get ready!"",
""There's rather a lot of shaking!"",","""Some kind of gravitic anomaly? Everything's sinking!"",
""I don't like what I'm seeing..."",","""The mountain is trying to swallow us!"",
""The roots of the underworld are pulling us down."",","""Going down..."",","""Hey, I thought we won?"",
""Wait, what's happening?"",
""Did the Vek forget to pay their earthquake bill?"",","""This island is less stable than it appeared."",
""I'm... detecting massive underground caverns. Were they there before?"",
""This does not bode well."",","""Earthquake?"",
""The ground's collapsing!"",","""Is everything shaking, or just me?"",
""Something is unnatural here,"" ,","""What new sorcery is this?!"",
""The ground buckles beneath us!"",","""This island is less stable than it appeared."",
""Apparently this island is less than stable."",
""A curious seismic phenomena. Pity we have no time to study it."",","""Hang on, my seismic sensors are going haywire... what is this?"",
""Detecting seismic anomaly!"",
""Who pressed the down button on this elevator?"",","""Earthquake?"",
""Probably just a normal earthquake, nothing sinister... right?"",","""Something's wrong..."",
""That's... that's not me. Reactor containment is still holding. What...?"",","""Is anyone else feeling a lot of shaking? It's not just me?"",
""Seismic disturbance! MASSIVE seismic disturbance!"",","""Geological collapse imminent."",
""The igneous composition of the island subsurface is rapidly deteriorating."",","""Looks like we're going along for the ride."",
""This island is even less stable than R.S.T."",",,"""There's... some kind of enormous cavern on my sensors!"",
""What kind of earthquake is this?!"",
""There's something very wrong with this island!"","
,MissionFinal_Pylons,,,,,,,,,,,,,,,,,,,,,,,,,,
,MissionFinal_Bomb,What's the plan?,"""This hive is enormous... I can hear millions of Vek! What do we do?""","""Alright, this is starting to feel like a bad idea. Anyone bring a bigger gun?"",","""This... this is a lot more tunnels than I've ever seen."",
""I've never seen so many Vek. Too many!"",
""I've never seen tunnels like this before... this hive is too big to smash with our Mechs!"",","""I'm not sure my usual approach is going to be enough down here."",
""That's more Vek than we can deal with. Is there a backup plan?"",
""I like a good fight, but I think this might be hopeless..."",","""Have to know your limits... and this hive is beyond ours, #squad. Commander, we could use some more toys to work with."",
""Commander, there's no way we can take down this hive with just our Mechs. Advise."",","""We'll never be able to clear this hive. We need some divine intervention, commander."",
""That was a fun ride. The scenery hasn't improved, though."",
""Commander, we've got a... bit of a situation."",","""Commander, you're going to have to send us some more guns..."",
""No way our Mechs have enough firepower to destroy something this massive."",","""I... what... how do we..."",
""All our weapons won't even leave a scratch on this hive."",
""We are definitely not equipped for this..."",","""I guess it's a bit late to request more firepower?"",
""This place is massive. I think we need a new plan..."",","""It would take a mighty storm to wash the evil from this lair."",
""A hundred years of wind and fire wouldn't be able to scour the monsters from this place."",","""We're a few bullets shy of having enough firepower."",","""Great, now what? I'm out of good AND bad ideas."",","""We are out of our depth here."",
""None of our weapons have enough power to destroy this place."",
""My seismic scanners are showing... uncountable Vek in the surrounding tunnels. What do we do?"",","""We are out of our depth here. Literally and figuratively."",
""Our combined offensive capabilities would barely leave a scratch on this structure..."",","""Anyone have an extra ace up their sleeve?"",
""We're in the deep end now..."",","""Even with the weapons of this age, it would appear we are outmatched here..."",
""Even these mighty suits of armor cannot destroy so many demons..."",","""The odds of eliminating such a large quantity of Vek are... not good."",
""I believe we are underequipped to engage so many of them..."",","""We're going to need more than a few extra bullets to take down this place."",
""Even overloading our reactor cores wouldn't be enough to blow this hive. What do we do?"",","""No way we have enough firepower to bring down this hive."",
""These tunnels... my sensors read them going out for kilometers. We can't clear them alone."",","""Even overloading ever core we brought wouldn't be enough to wipe out this hive."",
""I may be a walking nuclear accident, but that's not going to be enough to take out this place..."",","""This day keeps getting better."",
""I'm trying to see an upside to our situation... but I'm not coming up with anything."",
""We are rather seriously outnumbered here."",","""All right, what's plan B?"",
""Not sure we're welcome here..."",
""We did not bring the right tools for this job."",","""Commander, we need some backup or a new plan."",
""Uh, seems this hive is a little bigger than the island above would suggest."",",,"""I'm not sure my usual approach is going to be enough down here."",
""That's more Vek than we can deal with. Is there a backup plan?"",
""I like a good fight, but I think this might be hopeless..."","
,MissionFinal_BombResponse,Before dropping the bomb,,,,,,,,,,,,,,,,,,,,,,,,,
